iter	Passed	Remaining
0	139	41825
1	143	21346
2	146	14543
3	149	11099
4	155	9170
5	162	7957
6	163	6835
7	168	6136
8	171	5538
9	174	5073
10	178	4692
11	182	4390
12	186	4125
13	190	3888
14	193	3678
15	198	3518
16	201	3359
17	205	3220
18	208	3090
19	213	2986
20	216	2877
21	220	2783
22	224	2702
23	229	2635
24	233	2563
25	236	2496
26	240	2436
27	245	2387
28	248	2325
29	252	2269
30	255	2219
31	260	2177
32	263	2130
33	267	2090
34	270	2049
35	275	2016
36	278	1980
37	282	1945
38	285	1909
39	289	1880
40	293	1854
41	297	1826
42	301	1802
43	309	1802
44	316	1794
45	319	1765
46	326	1759
47	331	1741
48	336	1725
49	342	1712
50	351	1715
51	356	1698
52	356	1661
53	360	1643
54	367	1637
55	371	1616
56	375	1601
57	378	1580
58	382	1562
59	386	1545
60	389	1527
61	394	1514
62	397	1496663	400	1477664	404	1461665	407	1445666	411	1429667	415	1416668	418	1401669	421	1386770	425	1372771	429	1358772	431	134273	432	1320
74	436	1309
75	441	1300
76	444	1287
77	447	1274
78	451	1262
779	457	1258880	460	1246881	464	1235882	468	1225883	473	121684	473	1198
85	477	1188
86	482	1180
87	489	1179
88	493	1170
89	496	1159
90	500	1150
91	504	1139
92	507	1129
93	510	1118
94	516	1113
95	519	1104
96	523	1094
97	526	1084
98	529	1076
99	534	1068
100	537	1059
101	541	1051
102	545	1043
103	549	1034
104	552	1026
105	555	1017
106	560	1010
107	564	1003
108	567	994
109	572	989
110	577	983
111	586	984
112	591	978
113	594	970
114	599	964
115	603	957
116	609	952
117	614	948
118	618	941
119	624	936
120	628	929
121	631	921
122	635	914
123	638	906
124	642	899
125	647	893
126	652	888
127	658	884
128	663	879
129	667	872
130	672	867
131	676	860
132	679	853
133	684	847
134	689	843
135	693	836
136	698	830
137	702	824
138	707	819
139	711	812
140	715	807
141	721	802
142	726	797
143	731	792
144	738	789
145	744	785
146	752	783
147	758	779
148	770	780
149	780	780
150	793	783
151	803	782
152	813	781
153	818	776
154	823	770
155	827	763
156	831	757
157	834	750
158	839	744
159	843	738
160	848	732
161	854	727
162	858	721
163	861	714
164	865	708
165	868	701
166	872	6941167	878	690
168	887	687
169	893	683
170	897	677
171	904	673
172	913	670
173	916	664
174	922	658
175	928	653
176	931	647
177	937	642
178	943	637
179	946	631
180	950	624
181	953	618
182	961	614
183	968	610
184	976	606
185	980	600
186	984	594
187	994	592
188	999	586
189	1002	580
190	1009	576
191	1013	570
192	1017	563
193	1022	558
194	1026	552
195	1029	546
196	1033	540
197	1038	534
198	1042	529
199	1046	523
200	1050	517
201	1055	512
202	1059	506
203	1063	500
204	1066	494
205	1071	489
206	1075	483
207	1079	477
208	1084	472
209	1091	467
210	1100	464
211	1106	459
212	1121	458
213	1146	460
214	1159	458
215	1194	464
216	1205	461
217	1224	460
218	1263	467
219	1268	461
220	1284	459
221	1306	459
222	1327	458
223	1334	452
224	1339	446
225	1349	441
226	1366	439
227	1380	435
228	1388	430
229	1403	427
230	1414	422
231	1427	418
232	1456	418
233	1474	415
234	1487	411
235	1497	406
236	1505	400
237	1514	394
238	1519	387
239	1531	382
240	1536	376
241	1544	370
242	1551	363
243	1573	361
244	1580	354
245	1590	349
246	1595	342
247	1600	335
248	1609	329
249	1614	322
250	1627	317
251	1635	311
252	1639	304
253	1643	297
254	1652	291
255	1655	284
256	1661	277
257	1669	271
258	1672	264
259	1678	258
260	1685	251
261	1690	245
262	1699	239
263	1707	232
264	1713	226
265	1717	219
266	1722	212
267	1728	206
268	1733	199
269	1742	193
270	1750	187
271	1754	180
272	1760	174
273	1764	167
274	1769	160
275	1775	154
276	1779	147
277	1783	141
278	1787	134
279	1794	128
280	1799	121
281	1810	115
282	1813	108
283	1817	102
284	1822	95
285	1828	89
286	1837	83
287	1844	76
288	1851	70
289	1857	64
290	1860	57
291	1864	51
292	1869	44
293	1872	38
294	1875	31
295	1879	25
296	1888	19
297	1892	12
298	1899	6
299	1902	0
